Margin,Profile,Max_CP_kg,Req_Prop_kg,Req_dV,Note
0,direct_entry,520.0,0,0.0,Success
0,orbit_insertion,37.0,483,3319.254069484892,Success
50,direct_entry,507.0,13,50.0,Success
50,orbit_insertion,34.0,486,3369.254069484892,Success
100,direct_entry,495.0,25,100.0,Success
100,orbit_insertion,30.0,490,3419.254069484892,Success
150,direct_entry,484.0,36,150.0,Success
150,orbit_insertion,26.0,494,3469.254069484892,Success
200,direct_entry,472.0,48,200.0,Success
200,orbit_insertion,23.0,497,3519.254069484892,Success
250,direct_entry,461.0,59,250.0,Success
250,orbit_insertion,19.0,501,3569.254069484892,Success
300,direct_entry,449.0,71,300.0,Success
300,orbit_insertion,16.0,504,3619.254069484892,Success
