CP_Weight(kg),KS_Avail(m/s),KS_Req(m/s),KS_Pass,DSPS_Avail(m/s),DSPS_Req(m/s),DSPS_Pass,Mission_Success
0.0,4650.59,3483.83,PASS,1452.75,3619.25,FAIL,FAIL
1.0,4647.15,3483.83,PASS,1446.46,3619.25,FAIL,FAIL
2.0,4643.71,3483.83,PASS,1440.22,3619.25,FAIL,FAIL
3.0,4640.28,3483.83,PASS,1434.04,3619.25,FAIL,FAIL
4.0,4636.85,3483.83,PASS,1427.91,3619.25,FAIL,FAIL
5.0,4633.43,3483.83,PASS,1421.84,3619.25,FAIL,FAIL
6.0,4630.02,3483.83,PASS,1415.82,3619.25,FAIL,FAIL
7.0,4626.61,3483.83,PASS,1409.85,3619.25,FAIL,FAIL
8.0,4623.21,3483.83,PASS,1403.93,3619.25,FAIL,FAIL
9.0,4619.81,3483.83,PASS,1398.06,3619.25,FAIL,FAIL
10.0,4616.42,3483.83,PASS,1392.24,3619.25,FAIL,FAIL
11.0,4613.03,3483.83,PASS,1386.47,3619.25,FAIL,FAIL
12.0,4609.65,3483.83,PASS,1380.75,3619.25,FAIL,FAIL
13.0,4606.28,3483.83,PASS,1375.08,3619.25,FAIL,FAIL
14.0,4602.91,3483.83,PASS,1369.45,3619.25,FAIL,FAIL
15.0,4599.54,3483.83,PASS,1363.87,3619.25,FAIL,FAIL
16.0,4596.19,3483.83,PASS,1358.34,3619.25,FAIL,FAIL
17.0,4592.83,3483.83,PASS,1352.85,3619.25,FAIL,FAIL
18.0,4589.49,3483.83,PASS,1347.41,3619.25,FAIL,FAIL
19.0,4586.15,3483.83,PASS,1342.01,3619.25,FAIL,FAIL
20.0,4582.81,3483.83,PASS,1336.66,3619.25,FAIL,FAIL
21.0,4579.48,3483.83,PASS,1331.35,3619.25,FAIL,FAIL
22.0,4576.16,3483.83,PASS,1326.08,3619.25,FAIL,FAIL
23.0,4572.84,3483.83,PASS,1320.85,3619.25,FAIL,FAIL
24.0,4569.52,3483.83,PASS,1315.67,3619.25,FAIL,FAIL
25.0,4566.21,3483.83,PASS,1310.53,3619.25,FAIL,FAIL
26.0,4562.91,3483.83,PASS,1305.42,3619.25,FAIL,FAIL
27.0,4559.61,3483.83,PASS,1300.36,3619.25,FAIL,FAIL
28.0,4556.32,3483.83,PASS,1295.34,3619.25,FAIL,FAIL
29.0,4553.03,3483.83,PASS,1290.36,3619.25,FAIL,FAIL
30.0,4549.75,3483.83,PASS,1285.41,3619.25,FAIL,FAIL
